Nombre,Rut,Ciudad,Correo,Telefono
Nélida Guzmán,15522998-3,Paredones,sbarrera@example.com,+56 52 376 4357
Ana Yáñez,17201889-1,Mejillones,caracena@example.org,+56 65 326 4471
Luis Santana,11554603-5,San Javier,roberto65@example.com,+56 600 915 436
Gabriel Sáez Zurita,17506301-K,Quinta Normal,cristina54@example.com,+56 9 4610 1308
Mery Castro Maturana,13552301-K,Carahue,uriffo@example.com,+56 57 373 2377
Miguel Navarrete Guevara,16478775-5,La Unión,gonzalezhector@example.com,+56 2 3991 7521
Alberto Albornoz Cifuentes,15525708-6,Puchuncaví,cristiancatalan@example.com,+56 9 8964 7429
Filomena Muñoz,19942061-1,Las Condes,garciaamada@example.com,+56 2 2552 3563
Sara Claudia García González,19702025-4,Lampa,quijadaelizabeth@example.com,+56 2 3751 5734
Juan Silvio Castillo Jara,14102094-7,Purranque,lloyola@example.com,+56 41 216 5537
